order	season	zone	orderNumber	group	redCollegeName	redTeamName	blueCollegeName	blueTeamName	redSideWinGameCount	blueSideWinGameCount
1774	2021	中区	26	小组赛B	中国人民解放军国防科技大学	军临	长安大学	VGD	2	0
1775	2021	中区	27	小组赛C	西南交通大学	Helios	内蒙古科技大学	雷霆	2	0
1776	2021	中区	28	小组赛D	厦门大学	RCS	东华大学	DIODE	0	2
1777	2021	中区	29	小组赛E	安徽信息工程学院	Artisans	南京航空航天大学金城学院	Born of Fire	2	0
1778	2021	中区	30	小组赛F	华中科技大学	狼牙	电子科技大学成都学院	微城市V CTIM	2	0
1779	2021	中区	31	小组赛G	中国石油大学（华东）	RPS	集美大学诚毅学院	拉普拉斯	2	0
1780	2021	中区	32	小组赛H	上海科技大学	Magician	浙江大学	Hello World	0	2
1781	2021	中区	33	小组赛A	浙江纺织服装职业技术学院	Robofuture	西安电子科技大学	IRobot	2	0
1782	2021	中区	34	小组赛B	太原工业学院	火线	中国人民解放军国防科技大学	军临	0	2
1783	2021	中区	35	小组赛C	上海交通大学	云汉交龙	西南交通大学	Helios	2	0
1784	2021	中区	36	小组赛D	同济大学	SuperPower	厦门大学	RCS	2	0
1785	2021	中区	37	小组赛E	中国矿业大学	CUBOT	安徽信息工程学院	Artisans	1	1
1786	2021	中区	38	小组赛F	东南大学	3SE	华中科技大学	狼牙	1	1
1787	2021	中区	39	小组赛G	南京理工大学	Alliance	中国石油大学（华东）	RPS	0	2
1788	2021	中区	40	小组赛H	西北工业大学	WMJ	上海科技大学	Magician	2	0
1789	2021	中区	41	小组赛A	上海工程技术大学	木鸢Birdiebot	湖北工业大学	纵维立方—力创RM	2	0
1790	2021	中区	42	小组赛B	长安大学	VGD	上海大学	SRM	0	2
1791	2021	中区	43	小组赛C	内蒙古科技大学	雷霆	杭州电子科技大学	PHOENIX	0	2
1792	2021	中区	44	小组赛D	东华大学	DIODE	常熟理工学院	R&A	2	0
1793	2021	中区	45	小组赛E	南京航空航天大学金城学院	Born of Fire	南京航空航天大学	长空御风	0	2
1794	2021	中区	46	小组赛F	电子科技大学成都学院	微城市V CTIM	武汉工程大学	Nautilus	0	2
1795	2021	中区	47	小组赛G	集美大学诚毅学院	拉普拉斯	福建师范大学	Pikachu	2	0
1796	2021	中区	48	小组赛H	浙江大学	Hello World	太原科技大学	NewMaker	2	0
1797	2021	中区	49	淘汰赛16进8	上海工程技术大学	木鸢Birdiebot	太原工业学院	火线	2	1
1798	2021	中区	50	淘汰赛16进8	同济大学	SuperPower	上海交通大学	云汉交龙	0	2
1799	2021	中区	51	淘汰赛16进8	中国矿业大学	CUBOT	东南大学	3SE	0	2
